2024-06-13 00:01:20, AirTemperature: 29.7C, AirHumidity: 44.2%, WaterTemperature: 0.0C, WaterDO: 0.0mg/L 
2024-06-13 00:02:20, AirTemperature: 29.6C, AirHumidity: 44.3%, WaterTemperature: 23C, WaterDO: 8.12mg/L 
2024-06-13 00:03:20, AirTemperature: 29.6C, AirHumidity: 44.3%, WaterTemperature: 23C, WaterDO: 7.29mg/L 
2024-06-13 00:04:10, AirTemperature: 29.6C, AirHumidity: 44.4%, WaterTemperature: 0.0C, WaterDO: 0.0mg/L 
2024-06-13 00:05:10, AirTemperature: 29.6C, AirHumidity: 44.3%, WaterTemperature: 23C, WaterDO: 7.84mg/L 
2024-06-13 00:06:16, AirTemperature: 29.6C, AirHumidity: 44.4%, WaterTemperature: 0.0C, WaterDO: 0.0mg/L 
2024-06-13 00:07:16, AirTemperature: 29.6C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 00:08:16, AirTemperature: 29.6C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 00:09:16, AirTemperature: 29.6C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:10:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:11:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:12:16, AirTemperature: 29.6C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:13:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 00:14:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:15:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:16:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 8.44mg/L 
2024-06-13 00:17:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 00:18:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 00:19:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:20:16, AirTemperature: 29.5C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 00:21:16, AirTemperature: 29.4C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 00:22:16, AirTemperature: 29.4C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:23:16, AirTemperature: 29.4C, AirHumidity: 44.4%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:24:16, AirTemperature: 29.4C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:25:16, AirTemperature: 29.4C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:26:16, AirTemperature: 29.3C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:27:16, AirTemperature: 29.4C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 00:28:16, AirTemperature: 29.3C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:29:16, AirTemperature: 29.3C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:30:16, AirTemperature: 29.3C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 00:31:16, AirTemperature: 29.3C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 00:32:16, AirTemperature: 29.3C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 8.44mg/L 
2024-06-13 00:33:16, AirTemperature: 29.3C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 00:34:16, AirTemperature: 29.2C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:35:16, AirTemperature: 29.2C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:36:16, AirTemperature: 29.2C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 00:37:16, AirTemperature: 29.2C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 8.44mg/L 
2024-06-13 00:38:16, AirTemperature: 29.2C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:39:16, AirTemperature: 29.2C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:40:16, AirTemperature: 29.2C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:41:16, AirTemperature: 29.2C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:42:16, AirTemperature: 29.2C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 00:43:16, AirTemperature: 29.2C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 00:44:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.28mg/L 
2024-06-13 00:45:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 00:46:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 00:47:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:48:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.28mg/L 
2024-06-13 00:49:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:50:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:51:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 00:52:16, AirTemperature: 29.1C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:53:16, AirTemperature: 29.1C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:54:16, AirTemperature: 29.0C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:55:16, AirTemperature: 29.0C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 8.44mg/L 
2024-06-13 00:56:16, AirTemperature: 29.0C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 00:57:16, AirTemperature: 29.0C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 00:58:16, AirTemperature: 29.0C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 00:59:16, AirTemperature: 29.0C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.28mg/L 
2024-06-13 01:00:16, AirTemperature: 29.0C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:01:16, AirTemperature: 29.0C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:02:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.28mg/L 
2024-06-13 01:03:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 01:04:16, AirTemperature: 29.0C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:05:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:06:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:07:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:08:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.05mg/L 
2024-06-13 01:09:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:10:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:11:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 8.44mg/L 
2024-06-13 01:12:16, AirTemperature: 28.9C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 8.44mg/L 
2024-06-13 01:13:16, AirTemperature: 28.9C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:14:16, AirTemperature: 28.9C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:15:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:16:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:17:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:18:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:19:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 01:20:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 01:21:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:22:16, AirTemperature: 28.8C, AirHumidity: 44.0%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:23:16, AirTemperature: 28.8C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:24:16, AirTemperature: 28.8C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 01:25:16, AirTemperature: 28.8C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:26:16, AirTemperature: 28.8C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:27:16, AirTemperature: 28.8C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 01:28:16, AirTemperature: 28.8C, AirHumidity: 44.1%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:29:16, AirTemperature: 28.8C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 01:30:16, AirTemperature: 28.8C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 01:31:16, AirTemperature: 28.8C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 7.28mg/L 
2024-06-13 01:32:16, AirTemperature: 28.8C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 01:33:16, AirTemperature: 28.8C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 8.73mg/L 
2024-06-13 01:34:16, AirTemperature: 28.8C, AirHumidity: 44.2%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 01:35:16, AirTemperature: 28.8C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:36:16, AirTemperature: 28.8C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:37:16, AirTemperature: 28.8C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 01:38:16, AirTemperature: 28.9C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 8.15mg/L 
2024-06-13 01:39:16, AirTemperature: 28.9C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 9.01mg/L 
2024-06-13 01:40:16, AirTemperature: 28.9C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.57mg/L 
2024-06-13 01:41:16, AirTemperature: 28.9C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:42:16, AirTemperature: 28.9C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
2024-06-13 01:43:16, AirTemperature: 28.9C, AirHumidity: 44.3%, WaterTemperature: 22C, WaterDO: 7.86mg/L 
